questSystemName,questName,questRank,questPrompt,questAuraGranted,questEventCount,questEventUnits
Walk System,Walk 0.25 Miles - Session 1,1,Walk 0.25 miles to boost your cardiovascular health,2.5,0.25,miles
Walk System,Walk 0.25 Miles - Session 2,1,Take a brisk walk of 0.25 miles to energize your day,2.5,0.25,miles
Walk System,Walk 0.25 Miles - Session 3,1,Complete a walk of 0.25 miles to improve your stamina,2.5,0.25,miles
Walk System,Walk 0.50 Miles - Session 1,2,Achieve 0.50 miles walking to enhance your endurance,5.0,0.50,miles
Walk System,Walk 0.50 Miles - Session 2,2,Embark on a walk of 0.50 miles for overall wellness,5.0,0.50,miles
Walk System,Walk 0.50 Miles - Session 3,2,Walk 0.50 miles to boost your cardiovascular health,5.0,0.50,miles
Walk System,Walk 0.75 Miles - Session 1,3,Take a brisk walk of 0.75 miles to energize your day,7.5,0.75,miles
Walk System,Walk 0.75 Miles - Session 2,3,Complete a walk of 0.75 miles to improve your stamina,7.5,0.75,miles
Walk System,Walk 0.75 Miles - Session 3,3,Achieve 0.75 miles walking to enhance your endurance,7.5,0.75,miles
Walk System,Walk 1.00 Miles - Session 1,4,Embark on a walk of 1.00 miles for overall wellness,10.0,1.00,miles
Walk System,Walk 1.00 Miles - Session 2,4,Walk 1.00 miles to boost your cardiovascular health,10.0,1.00,miles
Walk System,Walk 1.00 Miles - Session 3,4,Take a brisk walk of 1.00 miles to energize your day,10.0,1.00,miles
Walk System,Walk 1.25 Miles - Session 1,5,Complete a walk of 1.25 miles to improve your stamina,12.5,1.25,miles
Walk System,Walk 1.25 Miles - Session 2,5,Achieve 1.25 miles walking to enhance your endurance,12.5,1.25,miles
Walk System,Walk 1.25 Miles - Session 3,5,Embark on a walk of 1.25 miles for overall wellness,12.5,1.25,miles
Walk System,Walk 1.50 Miles - Session 1,6,Walk 1.50 miles to boost your cardiovascular health,15.0,1.50,miles
Walk System,Walk 1.50 Miles - Session 2,6,Take a brisk walk of 1.50 miles to energize your day,15.0,1.50,miles
Walk System,Walk 1.50 Miles - Session 3,6,Complete a walk of 1.50 miles to improve your stamina,15.0,1.50,miles
Walk System,Walk 1.75 Miles - Session 1,7,Achieve 1.75 miles walking to enhance your endurance,17.5,1.75,miles
Walk System,Walk 1.75 Miles - Session 2,7,Embark on a walk of 1.75 miles for overall wellness,17.5,1.75,miles
Walk System,Walk 1.75 Miles - Session 3,7,Walk 1.75 miles to boost your cardiovascular health,17.5,1.75,miles
Walk System,Walk 2.00 Miles - Session 1,8,Take a brisk walk of 2.00 miles to energize your day,20.0,2.00,miles
Walk System,Walk 2.00 Miles - Session 2,8,Complete a walk of 2.00 miles to improve your stamina,20.0,2.00,miles
Walk System,Walk 2.00 Miles - Session 3,8,Achieve 2.00 miles walking to enhance your endurance,20.0,2.00,miles
Walk System,Walk 2.25 Miles - Session 1,9,Embark on a walk of 2.25 miles for overall wellness,22.5,2.25,miles
Walk System,Walk 2.25 Miles - Session 2,9,Walk 2.25 miles to boost your cardiovascular health,22.5,2.25,miles
Walk System,Walk 2.25 Miles - Session 3,9,Take a brisk walk of 2.25 miles to energize your day,22.5,2.25,miles
Walk System,Walk 2.50 Miles - Session 1,10,Complete a walk of 2.50 miles to improve your stamina,25.0,2.50,miles
Walk System,Walk 2.50 Miles - Session 2,10,Achieve 2.50 miles walking to enhance your endurance,25.0,2.50,miles
Walk System,Walk 2.50 Miles - Session 3,10,Embark on a walk of 2.50 miles for overall wellness,25.0,2.50,miles
Walk System,Walk 2.75 Miles - Session 1,11,Walk 2.75 miles to boost your cardiovascular health,27.5,2.75,miles
Walk System,Walk 2.75 Miles - Session 2,11,Take a brisk walk of 2.75 miles to energize your day,27.5,2.75,miles
Walk System,Walk 2.75 Miles - Session 3,11,Complete a walk of 2.75 miles to improve your stamina,27.5,2.75,miles
Walk System,Walk 3.00 Miles - Session 1,12,Achieve 3.00 miles walking to enhance your endurance,30.0,3.00,miles
Walk System,Walk 3.00 Miles - Session 2,12,Embark on a walk of 3.00 miles for overall wellness,30.0,3.00,miles
Walk System,Walk 3.00 Miles - Session 3,12,Walk 3.00 miles to boost your cardiovascular health,30.0,3.00,miles
Walk System,Walk 3.25 Miles - Session 1,13,Take a brisk walk of 3.25 miles to energize your day,32.5,3.25,miles
Walk System,Walk 3.25 Miles - Session 2,13,Complete a walk of 3.25 miles to improve your stamina,32.5,3.25,miles
Walk System,Walk 3.25 Miles - Session 3,13,Achieve 3.25 miles walking to enhance your endurance,32.5,3.25,miles
Walk System,Walk 3.50 Miles - Session 1,14,Embark on a walk of 3.50 miles for overall wellness,35.0,3.50,miles
Walk System,Walk 3.50 Miles - Session 2,14,Walk 3.50 miles to boost your cardiovascular health,35.0,3.50,miles
Walk System,Walk 3.50 Miles - Session 3,14,Take a brisk walk of 3.50 miles to energize your day,35.0,3.50,miles
Walk System,Walk 3.75 Miles - Session 1,15,Complete a walk of 3.75 miles to improve your stamina,37.5,3.75,miles
Walk System,Walk 3.75 Miles - Session 2,15,Achieve 3.75 miles walking to enhance your endurance,37.5,3.75,miles
Walk System,Walk 3.75 Miles - Session 3,15,Embark on a walk of 3.75 miles for overall wellness,37.5,3.75,miles
Walk System,Walk 4.00 Miles - Session 1,16,Walk 4.00 miles to boost your cardiovascular health,40.0,4.00,miles
Walk System,Walk 4.00 Miles - Session 2,16,Take a brisk walk of 4.00 miles to energize your day,40.0,4.00,miles
Walk System,Walk 4.00 Miles - Session 3,16,Complete a walk of 4.00 miles to improve your stamina,40.0,4.00,miles
Walk System,Walk 4.25 Miles - Session 1,17,Achieve 4.25 miles walking to enhance your endurance,42.5,4.25,miles
Walk System,Walk 4.25 Miles - Session 2,17,Embark on a walk of 4.25 miles for overall wellness,42.5,4.25,miles
Walk System,Walk 4.25 Miles - Session 3,17,Walk 4.25 miles to boost your cardiovascular health,42.5,4.25,miles
Walk System,Walk 4.50 Miles - Session 1,18,Take a brisk walk of 4.50 miles to energize your day,45.0,4.50,miles
Walk System,Walk 4.50 Miles - Session 2,18,Complete a walk of 4.50 miles to improve your stamina,45.0,4.50,miles
Walk System,Walk 4.50 Miles - Session 3,18,Achieve 4.50 miles walking to enhance your endurance,45.0,4.50,miles
Walk System,Walk 4.75 Miles - Session 1,19,Embark on a walk of 4.75 miles for overall wellness,47.5,4.75,miles
Walk System,Walk 4.75 Miles - Session 2,19,Walk 4.75 miles to boost your cardiovascular health,47.5,4.75,miles
Walk System,Walk 4.75 Miles - Session 3,19,Take a brisk walk of 4.75 miles to energize your day,47.5,4.75,miles
Walk System,Walk 5.00 Miles - Session 1,20,Complete a walk of 5.00 miles to improve your stamina,50.0,5.00,miles
Walk System,Walk 5.00 Miles - Session 2,20,Achieve 5.00 miles walking to enhance your endurance,50.0,5.00,miles
Walk System,Walk 5.00 Miles - Session 3,20,Embark on a walk of 5.00 miles for overall wellness,50.0,5.00,miles
